disease	drug	proximity	pval
Alzheimer Disease	safinamide	0	0.021056093
Alzheimer Disease	salbutamol	0	0.000565833
Alzheimer Disease	salicylic acid	0	0.000155164
Alzheimer Disease	salmeterol	0	0.000139083
Alzheimer Disease	salmon calcitonin	0	0.01872673
Alzheimer Disease	salsalate	0	0.000273353
Alzheimer Disease	sapropterin	0.5	0.00948282
Alzheimer Disease	sargramostim	1	0.591470732
Alzheimer Disease	sarilumab	1	0.369914016
Alzheimer Disease	saxagliptin	0	3.87E-05
Alzheimer Disease	scopolamine	0.75	0.00351638
Alzheimer Disease	secobarbital	0.823529412	0.001753053
Alzheimer Disease	secretin human	2	0.976737738
Alzheimer Disease	secukinumab	0	0.020102841
Alzheimer Disease	segesterone acetate	0.666666667	0.20013602
Alzheimer Disease	selegiline	0	0.002550881
Alzheimer Disease	selexipag	0	0.014520343
Alzheimer Disease	selinexor	1	0.690579534
Alzheimer Disease	semaglutide	1	0.636755338
Alzheimer Disease	sennosides	1	0.258286692
Alzheimer Disease	seractide acetate	2	0.895466894
Alzheimer Disease	sermorelin	0	0.01733094
Alzheimer Disease	sertindole	0.375	4.35E-06
Alzheimer Disease	sertraline	0.4	0.001579362
Alzheimer Disease	sevoflurane	1.277777778	0.455737983
Alzheimer Disease	sibutramine	0.333333333	0.007573988
Alzheimer Disease	sildenafil	1	0.260247901
Alzheimer Disease	silicon dioxide	2	0.815939875
Alzheimer Disease	silodosin	0.666666667	0.046093511
Alzheimer Disease	siltuximab	0	0.026378826
Alzheimer Disease	silver	1.076923077	0.199658566
Alzheimer Disease	simoctocog alfa	0	0.002156608
Alzheimer Disease	simvastatin	0.666666667	0.051002084
Alzheimer Disease	siponimod	1	0.351590393
Alzheimer Disease	sipuleucel-t	2	0.813553921
Alzheimer Disease	sirolimus	0.333333333	0.003985452
Alzheimer Disease	sitagliptin	0	0.000370198
Alzheimer Disease	sitaxentan	0	0.001177637
Alzheimer Disease	sodium carbonate	0.5	0.005830425
Alzheimer Disease	sodium ferric gluconate complex	1	0.3268153
Alzheimer Disease	sodium sulfate	0.5	0.029151431
Alzheimer Disease	sodium tetradecyl sulfate	1	0.512556633
Alzheimer Disease	solifenacin	0.8	0.067967057
Alzheimer Disease	solriamfetol	0.5	0.074652112
Alzheimer Disease	somatostatin	1	0.285832552
Alzheimer Disease	somatotropin	0.5	0.053409154
Alzheimer Disease	somatrem	0	1.81E-05
Alzheimer Disease	sonidegib	1	0.453959047
Alzheimer Disease	sorafenib	0.6	0.011184218
Alzheimer Disease	sotalol	0.333333333	0.008448413
Alzheimer Disease	soybean oil	0	7.22E-06
Alzheimer Disease	sparfloxacin	1	0.607564331
Alzheimer Disease	spirapril	0	0.020018182
Alzheimer Disease	spironolactone	0.833333333	1.06E-05
Alzheimer Disease	stanozolol	0	0.150190719
Alzheimer Disease	stearic acid	0	0.000509095
Alzheimer Disease	stiripentol	1.266666667	0.402585851
Alzheimer Disease	streptokinase	0.5	0.055064371
Alzheimer Disease	streptomycin	1	0.546926127
Alzheimer Disease	streptozocin	1	0.349688228
Alzheimer Disease	succinic acid	0.95	0.075966944
Alzheimer Disease	succinylcholine	0.333333333	0.00395973
Alzheimer Disease	sucralfate	0.2	4.75E-08
Alzheimer Disease	sufentanil	0.666666667	0.190438513
Alzheimer Disease	sulfamethoxazole	0	0.030499728
Alzheimer Disease	sulfasalazine	0.4	4.47E-05
Alzheimer Disease	sulfinpyrazone	0.75	0.134776886
Alzheimer Disease	sulindac	0.428571429	0.000541687
Alzheimer Disease	sulodexide	0.5	0.041699434
Alzheimer Disease	sulpiride	0.5	0.005170212
Alzheimer Disease	sumatriptan	1.25	0.418483113
Alzheimer Disease	sunitinib	0.625	0.046816927
Alzheimer Disease	suprofen	0	0.005476351
Alzheimer Disease	susoctocog alfa	0	0.005120837
Alzheimer Disease	suvorexant	0	0.000394802
Alzheimer Disease	tacrine	0.666666667	0.03159405
Alzheimer Disease	tacrolimus	1	0.662018519
Alzheimer Disease	tadalafil	1.5	0.479381148
Alzheimer Disease	tafamidis	0	7.22E-06
Alzheimer Disease	tafluprost	0	0.024273764
Alzheimer Disease	tagraxofusp	1	0.606035017
Alzheimer Disease	talazoparib	0.5	0.188495386
Alzheimer Disease	talbutal	1.117647059	0.094172932
Alzheimer Disease	tamoxifen	0.588235294	0.047293096
Alzheimer Disease	tamsulosin	0.666666667	0.088920794
Alzheimer Disease	tapentadol	0.666666667	0.033248253
Alzheimer Disease	tasimelteon	1	0.663255419
Alzheimer Disease	tasonermin	0	0.078132659
Alzheimer Disease	taurine	1.1875	0.185795713
Alzheimer Disease	taurocholic acid	0.5	0.041533929
Alzheimer Disease	tazarotene	0	7.55E-07
Alzheimer Disease	technetium tc-99m nofetumomab merpentan	1	0.365991536
Alzheimer Disease	technetium tc-99m tilmanocept	0	0.016589996
Alzheimer Disease	teduglutide	2	0.873900493
Alzheimer Disease	tegafur	0	0.006830513
Alzheimer Disease	tegafur-uracil	1	0.347007437
Alzheimer Disease	tegaserod	0.5	0.006813464
Alzheimer Disease	telaprevir	1	0.118443738
Alzheimer Disease	telmisartan	0	0.000249074
Alzheimer Disease	telotristat ethyl	0	0.000276032
Alzheimer Disease	temazepam	1.1875	0.144620895
Alzheimer Disease	temsirolimus	0	0.01684862
Alzheimer Disease	tenapanor	1	0.484422602
Alzheimer Disease	tenecteplase	0.545454545	0.00098224
Alzheimer Disease	teniposide	1	0.56945295
Alzheimer Disease	tenoxicam	0	0.001349898
Alzheimer Disease	terazosin	0.8	0.037878421
Alzheimer Disease	terbinafine	2	0.864564469
Alzheimer Disease	terbutaline	0	0.000408748
Alzheimer Disease	terfenadine	0.857142857	0.046014821
Alzheimer Disease	teriflunomide	1	0.648476303
Alzheimer Disease	teriparatide	0	0.009462018
Alzheimer Disease	terlipressin	1	0.225282918
Alzheimer Disease	tesamorelin	0	0.005392425
Alzheimer Disease	testolactone	0	0.027293082
Alzheimer Disease	testosterone	0	0.003674786
Alzheimer Disease	testosterone cypionate	0	0.002948392
Alzheimer Disease	testosterone enanthate	0	0.005623217
Alzheimer Disease	testosterone propionate	0	0.169547988
Alzheimer Disease	testosterone undecanoate	0	0.008031494
Alzheimer Disease	tetrabenazine	0.5	0.051083595
Alzheimer Disease	tetracaine	1.222222222	0.639169338
Alzheimer Disease	tetrachlorodecaoxide	1	0.336243941
Alzheimer Disease	tetracosactide	2	0.925139769
Alzheimer Disease	tetracycline	0.5	0.208224176
Alzheimer Disease	tetradecyl hydrogen sulfate (ester)	1	0.545734341
Alzheimer Disease	tetraferric tricitrate decahydrate	1	0.74758846
Alzheimer Disease	tetryzoline	0	0.017035877
Alzheimer Disease	thalidomide	0.428571429	0.004564635
Alzheimer Disease	theophylline	1.071428571	0.536118005
Alzheimer Disease	thiamine	2	0.900727234
Alzheimer Disease	thiamylal	0.666666667	0.045840207
Alzheimer Disease	thiethylperazine	0	1.97E-06
Alzheimer Disease	thimerosal	1.333333333	0.629094649
Alzheimer Disease	thiopental	1	0.017829147
Alzheimer Disease	thioridazine	0.333333333	6.69E-05
Alzheimer Disease	thiothixene	0	4.45E-05
Alzheimer Disease	thonzonium	1	0.617911422
Alzheimer Disease	thonzylamine	0.833333333	0.041448241
Alzheimer Disease	threonine	0.666666667	0.076777706
Alzheimer Disease	thrombin	0.5	1.83E-05
Alzheimer Disease	thrombin alfa	0.375	6.25E-05
Alzheimer Disease	thrombomodulin alfa	0	0.001172579
Alzheimer Disease	thyrotropin alfa	1	0.615393999
Alzheimer Disease	tiagabine	1	0.221190512
Alzheimer Disease	tiaprofenic acid	0	0.007507673
Alzheimer Disease	ticagrelor	0	0.000895621
Alzheimer Disease	ticlopidine	0	0.004505991
Alzheimer Disease	tildrakizumab	0.5	0.06007842
Alzheimer Disease	tiludronic acid	0.5	0.092032056
Alzheimer Disease	timolol	0	0.002057416
Alzheimer Disease	tinzaparin	0.333333333	0.000518604
Alzheimer Disease	tioconazole	2	0.93638977
Alzheimer Disease	tiotropium	0.8	0.01821079
Alzheimer Disease	tipiracil	1	0.399688583
Alzheimer Disease	tirofiban	0.5	0.047813736
Alzheimer Disease	tisagenlecleucel	1	0.59334829
Alzheimer Disease	titanium dioxide	2	0.755856097
Alzheimer Disease	tizanidine	0.571428571	0.003521488
Alzheimer Disease	tocainide	1	0.673753328
Alzheimer Disease	tocilizumab	0	0.002595716
Alzheimer Disease	tocofersolan	0	0.006502383
Alzheimer Disease	tofacitinib	1	0.787565223
Alzheimer Disease	tolazamide	0	0.002897268
Alzheimer Disease	tolazoline	0.666666667	0.01323411
Alzheimer Disease	tolbutamide	0.5	0.064768539
Alzheimer Disease	tolcapone	0	0.006133114
Alzheimer Disease	tolfenamic acid	0	0.005120837
Alzheimer Disease	tolmetin	0	0.001010394
Alzheimer Disease	tolterodine	0.8	0.023296852
Alzheimer Disease	tolvaptan	1	0.296764476
Alzheimer Disease	topiramate	1.038461538	0.088907682
Alzheimer Disease	topotecan	1	0.131442778
Alzheimer Disease	torasemide	1	0.349226982
Alzheimer Disease	toremifene	0.5	0.685059521
Alzheimer Disease	tositumomab	1	0.459890762
Alzheimer Disease	tramadol	0.590909091	4.10E-06
Alzheimer Disease	trametinib	0	0.001091437
Alzheimer Disease	trandolapril	0	0.026534379
Alzheimer Disease	tranexamic acid	0	0.073469188
Alzheimer Disease	tranylcypromine	0	0.000610578
Alzheimer Disease	trastuzumab	1	0.377174872
Alzheimer Disease	trastuzumab deruxtecan	1	0.561112998
Alzheimer Disease	travoprost	0	0.016518772
Alzheimer Disease	trazodone	0.285714286	0.000198501
Alzheimer Disease	treprostinil	0	1.83E-06
Alzheimer Disease	triamterene	1.25	0.858358073
Alzheimer Disease	triazolam	1.1875	0.13912022
Alzheimer Disease	trichlormethiazide	0.8	0.108545683
Alzheimer Disease	triclosan	0.6	0.05182036
Alzheimer Disease	trifarotene	0	1.89E-05
Alzheimer Disease	trifluoperazine	0.5	0.00506004
Alzheimer Disease	triflupromazine	0.2	8.82E-06
Alzheimer Disease	trifluridine	0	0.019968885
Alzheimer Disease	triflusal	0.5	0.11770775
Alzheimer Disease	trihexyphenidyl	0.8	0.012022188
Alzheimer Disease	trilostane	0.666666667	0.656995777
Alzheimer Disease	trimebutine	0.75	4.67E-05
Alzheimer Disease	trimetazidine	1	0.615900914
Alzheimer Disease	trimethadione	1	0.166409925
Alzheimer Disease	trimethoprim	0.5	0.032631866
Alzheimer Disease	trimetrexate	1	0.546040953
Alzheimer Disease	trimipramine	0.458333333	7.78E-09
Alzheimer Disease	tripelennamine	1	0.443484292
Alzheimer Disease	triprolidine	1	0.437293938
Alzheimer Disease	triptorelin	1	0.197638206
Alzheimer Disease	troglitazone	0.555555556	0.007234334
Alzheimer Disease	trolamine salicylate	0	0.002727597
Alzheimer Disease	troleandomycin	0	0.001418066
Alzheimer Disease	tromethamine	0.8	0.067459985
Alzheimer Disease	tropicamide	0.5	0.007674517
Alzheimer Disease	tropisetron	1	0.363244662
Alzheimer Disease	trospium	0	0.01483018
Alzheimer Disease	trovafloxacin	1	0.607564331
Alzheimer Disease	tryptophan	1	0.397923061
Alzheimer Disease	tuberculin purified protein derivative	0	0.01684862
Alzheimer Disease	tubocurarine	0.5	0.00194825
Alzheimer Disease	turoctocog alfa	0.333333333	0.002582012
Alzheimer Disease	turoctocog alfa pegol	0.333333333	0.020958243
Alzheimer Disease	tyloxapol	0	0.016708873
Alzheimer Disease	tyrosine	1	0.419953787
Alzheimer Disease	tyrothricin	0	0.008197536
Alzheimer Disease	ubidecarenone	0.5	0.030316224
Alzheimer Disease	ubrogepant	2	0.912252968
Alzheimer Disease	udenafil	1	0.370072068
Alzheimer Disease	ulipristal	0.666666667	0.325308968
Alzheimer Disease	umeclidinium	0.8	0.019058497
Alzheimer Disease	upadacitinib	1	0.717170456
Alzheimer Disease	urea	0.666666667	0.658398272
Alzheimer Disease	urofollitropin	0	0.003466974
Alzheimer Disease	urokinase	0.5	8.43E-05
Alzheimer Disease	ursodeoxycholic acid	1	0.200813125
Alzheimer Disease	ustekinumab	0.5	0.044161663
Alzheimer Disease	valdecoxib	0.666666667	0.048528211
Alzheimer Disease	valine	1	0.625580949
Alzheimer Disease	valproic acid	0.944444444	0.023295382
Alzheimer Disease	valrubicin	1	0.615393999
Alzheimer Disease	valsartan	0	0.000778463
Alzheimer Disease	vandetanib	0.2	3.92E-06
Alzheimer Disease	vardenafil	1	0.257273156
Alzheimer Disease	varenicline	0	2.16E-06
Alzheimer Disease	vasopressin	1	0.208796418
Alzheimer Disease	vecuronium	1	0.152956932
Alzheimer Disease	vedolizumab	1	0.586197071
Alzheimer Disease	velaglucerase alfa	0	0.002281057
Alzheimer Disease	vemurafenib	1	0.673753328
Alzheimer Disease	venetoclax	0	0.068846728
Alzheimer Disease	venlafaxine	0.333333333	0.00397108
Alzheimer Disease	verapamil	0.545454545	0.000425665
Alzheimer Disease	vernakalant	1	0.716604901
Alzheimer Disease	vigabatrin	1	0.416871062
Alzheimer Disease	vilanterol	0	0.121151694
Alzheimer Disease	vilazodone	0.5	0.070486902
Alzheimer Disease	vildagliptin	0	7.67E-09
Alzheimer Disease	viloxazine	1	0.384606001
Alzheimer Disease	vinblastine	1	0.373802311
Alzheimer Disease	vincristine	1	0.673753328
Alzheimer Disease	vindesine	1	0.662018519
Alzheimer Disease	vismodegib	1	0.464400882
Alzheimer Disease	vitamin a	1.352941176	0.527701684
Alzheimer Disease	vitamin d	0	0.002455923
Alzheimer Disease	vitamin e	1	0.486174619
Alzheimer Disease	von willebrand factor human	0.5	0.100786636
Alzheimer Disease	vonicog alfa	0.5	0.093217189
Alzheimer Disease	vorapaxar	1	0.643348413
Alzheimer Disease	voretigene neparvovec	1	0.233653344
Alzheimer Disease	vorinostat	1	0.810329848
Alzheimer Disease	vortioxetine	0.571428571	0.004787503
Alzheimer Disease	voxelotor	1.5	0.813740711
Alzheimer Disease	warfarin	0	0.000850416
Alzheimer Disease	xamoterol	0	0.003304639
Alzheimer Disease	xanthinol	0.833333333	0.5
Alzheimer Disease	ximelagatran	0	0.02681328
Alzheimer Disease	xylometazoline	0.5	0.003175532
Alzheimer Disease	yohimbine	0.647058824	0.000168917
Alzheimer Disease	zafirlukast	3	0.97281132
Alzheimer Disease	zaleplon	0.5	0.044378397
Alzheimer Disease	zanamivir	2	0.696224296
Alzheimer Disease	zanubrutinib	0.8	0.090749628
Alzheimer Disease	zidovudine	1	0.673753328
Alzheimer Disease	zileuton	0	0.019392058
Alzheimer Disease	zimelidine	0	0.000348518
Alzheimer Disease	zinc	0.686956522	6.79E-15
Alzheimer Disease	zinc acetate	0.686956522	5.97E-16
Alzheimer Disease	zinc chloride	0.686956522	8.36E-15
Alzheimer Disease	ziprasidone	0.56	1.93E-09
Alzheimer Disease	zofenopril	0	0.041285413
Alzheimer Disease	zoledronic acid	1	0.27224892
Alzheimer Disease	zolmitriptan	1.25	0.447888533
Alzheimer Disease	zolpidem	1.25	0.372702355
Alzheimer Disease	zonisamide	1.16	0.118508723
Alzheimer Disease	zopiclone	1.2	0.161352121
Alzheimer Disease	zotepine	0.125	6.54E-09
Alzheimer Disease	zucapsaicin	1	0.535599118
Alzheimer Disease	zuclopenthixol	0.142857143	2.89E-08
Amyloid Neuropathies	2-mercaptobenzothiazole	3	0.778249187
Amyloid Neuropathies	5-o-phosphono-alpha-d-ribofuranosyl diphosphate	2	0.206714388
Amyloid Neuropathies	abacavir	2	0.742596867
Amyloid Neuropathies	abaloparatide	2	0.344044106
Amyloid Neuropathies	abarelix	3	0.818995233
Amyloid Neuropathies	abatacept	2	0.160107249
Amyloid Neuropathies	abciximab	1.153846154	3.66E-20
Amyloid Neuropathies	abemaciclib	2	0.622825128
Amyloid Neuropathies	abiraterone	3	0.999993365
Amyloid Neuropathies	acalabrutinib	2	0.643348413
Amyloid Neuropathies	acamprosate	2.238095238	0.191831855
Amyloid Neuropathies	acarbose	2.5	0.632150316
Amyloid Neuropathies	acebutolol	1.5	0.023262262
Amyloid Neuropathies	aceclofenac	2	0.320545911
Amyloid Neuropathies	acemetacin	2	0.299791595
Amyloid Neuropathies	acenocoumarol	1	3.26E-07
Amyloid Neuropathies	acetaminophen	2	0.297371775
Amyloid Neuropathies	acetazolamide	2.428571429	0.74117742
Amyloid Neuropathies	acetohexamide	2	0.398789028
Amyloid Neuropathies	acetohydroxamic acid	2	0.262421471
Amyloid Neuropathies	acetophenazine	2.666666667	0.999804082
Amyloid Neuropathies	acetylcholine	2.333333333	0.680978033
Amyloid Neuropathies	acetylcysteine	2	0.203304196
Amyloid Neuropathies	acetyldigitoxin	2	0.594351872
Amyloid Neuropathies	acetylsalicylic acid	2	0.611423324
Amyloid Neuropathies	acitretin	2.142857143	0.933353394
Amyloid Neuropathies	aclidinium	2.6	0.879715001
Amyloid Neuropathies	acrivastine	2	0.262421471
Amyloid Neuropathies	adalimumab	2	0.522943119
Amyloid Neuropathies	adapalene	2.142857143	0.956570793
Amyloid Neuropathies	ademetionine	1.875	0.005916888
Amyloid Neuropathies	adenine	2.166666667	0.66431338
Amyloid Neuropathies	adenosine	2.75	0.975130035
Amyloid Neuropathies	adenosine phosphate	2.133333333	0.435499146
Amyloid Neuropathies	afamelanotide	2	0.356651587
Amyloid Neuropathies	afatinib	2	0.776823279
Amyloid Neuropathies	aflibercept	2.666666667	0.969190511
Amyloid Neuropathies	agkistrodon piscivorus antivenin	3	0.78566834
Amyloid Neuropathies	agomelatine	2.333333333	0.885040321
Amyloid Neuropathies	ajmaline	2	0.454795947
Amyloid Neuropathies	albendazole	1.5	0.002325987
Amyloid Neuropathies	albiglutide	2	0.539827837
Amyloid Neuropathies	albutrepenonacog alfa	2	0.400760484
Amyloid Neuropathies	alcaftadine	2	0.272551234
Amyloid Neuropathies	alclofenac	2	0.460172163
Amyloid Neuropathies	alclometasone	2	0.636755338
Amyloid Neuropathies	aldesleukin	2	0.371591113
Amyloid Neuropathies	alectinib	2	0.565406593
Amyloid Neuropathies	alefacept	1	1.18E-22
Amyloid Neuropathies	alemtuzumab	1.1	4.26E-19
Amyloid Neuropathies	alendronic acid	2	0.384606001
Amyloid Neuropathies	alfacalcidol	2	0.594351872
Amyloid Neuropathies	alfentanil	2	0.5
Amyloid Neuropathies	alfuzosin	2.25	0.730311442
Amyloid Neuropathies	alglucosidase alfa	2	0.397363447
Amyloid Neuropathies	alimemazine	2	0.277669818
Amyloid Neuropathies	alirocumab	2	0.337981481
Amyloid Neuropathies	aliskiren	2	0.277669818
Amyloid Neuropathies	alitretinoin	2.222222222	0.883273395
Amyloid Neuropathies	allopurinol	2	0.208279972
Amyloid Neuropathies	almitrine	2	0.556515708
Amyloid Neuropathies	almotriptan	3	0.965485751
Amyloid Neuropathies	alogliptin	3	0.999999674
Amyloid Neuropathies	alosetron	2	0.232155177
Amyloid Neuropathies	alpelisib	2	0.590280184
Amyloid Neuropathies	alpha-1-proteinase inhibitor	2	0.467517174
Amyloid Neuropathies	alpha-linolenic acid	2.1	0.27626994
Amyloid Neuropathies	alpha-tocopherol succinate	1.888888889	0.064272025
Amyloid Neuropathies	alprazolam	2.214285714	0.063572487
Amyloid Neuropathies	alprostadil	2.333333333	0.43907012
Amyloid Neuropathies	alteplase	2	0.438887002
Amyloid Neuropathies	aluminium	1.75	0.177149492
Amyloid Neuropathies	aluminium phosphate	1.75	0.125453279
Amyloid Neuropathies	aluminum acetate	1.75	0.182447537
Amyloid Neuropathies	aluminum chloride	2	0.532482826
Amyloid Neuropathies	alverine	2	0.309420466
Amyloid Neuropathies	alvimopan	2	0.33127319
Amyloid Neuropathies	amantadine	2.2	0.31203006
Amyloid Neuropathies	ambenonium	2	0.355035959
Amyloid Neuropathies	ambrisentan	2	0.250370764
Amyloid Neuropathies	amcinonide	2	0.674847044
Amyloid Neuropathies	amifampridine	3	0.986044282
Amyloid Neuropathies	amifostine	2.5	0.455780591
Amyloid Neuropathies	amiloride	2	0.14700739
Amyloid Neuropathies	aminocaproic acid	2	0.353763247
Amyloid Neuropathies	aminoglutethimide	2	0.130664223
Amyloid Neuropathies	aminolevulinic acid	2	0.434593407
Amyloid Neuropathies	aminophylline	2.5	0.976691848
Amyloid Neuropathies	aminosalicylic acid	2	0.471066841
Amyloid Neuropathies	amiodarone	2.142857143	0.536235923
Amyloid Neuropathies	amisulpride	2.5	0.997980053
Amyloid Neuropathies	amitriptyline	2.34375	0.925861829
Amyloid Neuropathies	amlexanox	2.25	0.5
Amyloid Neuropathies	amlodipine	2.285714286	0.532346053
Amyloid Neuropathies	amobarbital	2.1	0.025202941
Amyloid Neuropathies	amodiaquine	3	0.893318648
Amyloid Neuropathies	amoxapine	2.365853659	0.809303781
Amyloid Neuropathies	amphetamine	2.176470588	0.263025615
Amyloid Neuropathies	ampicillin	3	0.983165921
Amyloid Neuropathies	amrinone	2	0.228315722
Amyloid Neuropathies	amsacrine	1.75	0.037013208
Amyloid Neuropathies	amyl nitrite	2	0.303977175
Amyloid Neuropathies	amylmetacresol	3	0.878848306
Amyloid Neuropathies	amylocaine	2.285714286	0.454004792
Amyloid Neuropathies	anagrelide	2	0.414499996
Amyloid Neuropathies	anakinra	2	0.525138553
Amyloid Neuropathies	anastrozole	2	0.222876455
Amyloid Neuropathies	ancestim	2	0.590280184
Amyloid Neuropathies	ancrod	2	0.43054705
Amyloid Neuropathies	andexanet alfa	2	0.374957161
Amyloid Neuropathies	angiotensin ii	2	0.427460011
Amyloid Neuropathies	anileridine	2	0.434593407
Amyloid Neuropathies	anisindione	2	0.282829544
Amyloid Neuropathies	anisotropine methylbromide	2.666666667	0.957334996
Amyloid Neuropathies	anistreplase	2	0.458464439
Amyloid Neuropathies	antazoline	2	0.288034908
Amyloid Neuropathies	anthralin	2	0.252208327
Amyloid Neuropathies	anti-inhibitor coagulant complex	2	0.2763745
Amyloid Neuropathies	"antihemophilic factor (recombinant), pegylated"	2	0.43054705
Amyloid Neuropathies	antihemophilic factor human	2	0.29714828
Amyloid Neuropathies	"antihemophilic factor, human recombinant"	1.727272727	0.002557689
Amyloid Neuropathies	antipyrine	2	0.26683692
Amyloid Neuropathies	antithrombin alfa	2	0.390833696
Amyloid Neuropathies	antithrombin iii human	2	0.303977175
Amyloid Neuropathies	antithymocyte immunoglobulin (rabbit)	2.111111111	0.405068051
Amyloid Neuropathies	antrafenine	2	0.308537539
Amyloid Neuropathies	apalutamide	2.214285714	0.087790835
Amyloid Neuropathies	apixaban	2	0.446420795
Amyloid Neuropathies	apomorphine	2.866666667	0.999999885
Amyloid Neuropathies	apraclonidine	2.666666667	0.962776179
Amyloid Neuropathies	aprepitant	3	0.935973752
Amyloid Neuropathies	aprotinin	2.5	0.923222294
Amyloid Neuropathies	arbutamine	1.666666667	0.030953944
Amyloid Neuropathies	arbutin	2	0.222876455
Amyloid Neuropathies	ardeparin	2	0.207485717
Amyloid Neuropathies	arformoterol	1	0.006830513
Amyloid Neuropathies	argatroban	2	0.556515708
Amyloid Neuropathies	aripiprazole	2.418604651	0.999006364
Amyloid Neuropathies	aripiprazole lauroxil	2.56	0.999740085
Amyloid Neuropathies	armodafinil	2	0.361465073
Amyloid Neuropathies	arsenic trioxide	1.8	0.43546718
Amyloid Neuropathies	arzoxifene	2	0.821872638
Amyloid Neuropathies	ascorbic acid	2.086956522	0.052394291
Amyloid Neuropathies	asenapine	2.473684211	0.998826782
Amyloid Neuropathies	asfotase alfa	2	0.326246672
Amyloid Neuropathies	asparagine	2.166666667	0.440313576
Amyloid Neuropathies	aspartic acid	2.05	0.067362163
Amyloid Neuropathies	astemizole	2	0.316674799
Amyloid Neuropathies	atenolol	1.5	0.051002084
Amyloid Neuropathies	atezolizumab	3	0.898414004
Amyloid Neuropathies	atomoxetine	2	0.050894324
Amyloid Neuropathies	atorvastatin	2.2	0.958049817
Amyloid Neuropathies	atosiban	2	0.084547271
Amyloid Neuropathies	atovaquone	2	0.370072068
Amyloid Neuropathies	atracurium besylate	3	0.842938888
Amyloid Neuropathies	atropine	2.428571429	0.662004007
Amyloid Neuropathies	auranofin	2	0.580471939
Amyloid Neuropathies	aurothioglucose	2.333333333	0.461928297
Amyloid Neuropathies	avanafil	2	0.232658061
Amyloid Neuropathies	avatrombopag	2.5	0.702594767
Amyloid Neuropathies	avelumab	3	0.864662151
Amyloid Neuropathies	axicabtagene ciloleucel	2	0.405648128
Amyloid Neuropathies	axitinib	2	0.435792799
Amyloid Neuropathies	azacitidine	2	0.615393999
Amyloid Neuropathies	azatadine	2	0.303977175
Amyloid Neuropathies	azathioprine	1.5	0.019392058
Amyloid Neuropathies	azelaic acid	2	0.198581894
Amyloid Neuropathies	azelastine	2.75	0.94565118
Amyloid Neuropathies	azilsartan medoxomil	2	0.443484292
Amyloid Neuropathies	azithromycin	2	0.40665171
Amyloid Neuropathies	bacitracin	1.5	0.008197536
Amyloid Neuropathies	baclofen	2	0.301665886
Amyloid Neuropathies	balsalazide	2	0.337037016
Amyloid Neuropathies	baricitinib	2	0.739752099
Amyloid Neuropathies	basiliximab	1.083333333	6.37E-25
Amyloid Neuropathies	bazedoxifene	2	0.831097035
Amyloid Neuropathies	becaplermin	1.666666667	0.039517696
Amyloid Neuropathies	beclomethasone dipropionate	2	0.636755338
Amyloid Neuropathies	belatacept	2	0.175729049
Amyloid Neuropathies	belimumab	2	0.247443801
Amyloid Neuropathies	belinostat	2	0.77772264
Amyloid Neuropathies	bemiparin	2	0.224171262
Amyloid Neuropathies	benazepril	1	0.001418066
Amyloid Neuropathies	bendazac	2	0.342297122
Amyloid Neuropathies	bendroflumethiazide	2.2	0.426335774
Amyloid Neuropathies	benralizumab	1.5	0.00463038
Amyloid Neuropathies	benserazide	2	0.227272062
Amyloid Neuropathies	benzatropine	1.8	0.010213995
Amyloid Neuropathies	benzocaine	2	0.1970318
Amyloid Neuropathies	benzoic acid	2.6	0.965175816
Amyloid Neuropathies	benzonatate	2	0.454795947
Amyloid Neuropathies	benzphetamine	2.25	0.586351303
Amyloid Neuropathies	benzthiazide	2.333333333	0.82199319
Amyloid Neuropathies	benzylpenicillin	3.5	0.990580855
Amyloid Neuropathies	benzylpenicilloyl polylysine	2.5	0.819619183
Amyloid Neuropathies	bepotastine	2	0.308508142
Amyloid Neuropathies	bepridil	2.2	0.657196208
Amyloid Neuropathies	berberine	2	0.556515708
Amyloid Neuropathies	betahistine	3	0.9144542
Amyloid Neuropathies	betamethasone	2	0.649739786
Amyloid Neuropathies	betaxolol	1.5	0.051002084
Amyloid Neuropathies	betazole	3	0.782547925
Amyloid Neuropathies	bethanechol	2.5	0.826689562
Amyloid Neuropathies	bethanidine	2.285714286	0.745352923
Amyloid Neuropathies	betrixaban	2	0.457401744
Amyloid Neuropathies	bevacizumab	1	1.55E-21
Amyloid Neuropathies	bexarotene	2	0.5599948
Amyloid Neuropathies	bezafibrate	2	0.594416306
Amyloid Neuropathies	bicalutamide	2	0.696022825
Amyloid Neuropathies	bilastine	2	0.303977175
Amyloid Neuropathies	bimatoprost	2.333333333	0.560969796
Amyloid Neuropathies	binimetinib	2.2	0.839384318
Amyloid Neuropathies	bioallethrin	2.464285714	0.895265759
Amyloid Neuropathies	biotin	2	0.200721446
Amyloid Neuropathies	biperiden	3	0.89919298
Amyloid Neuropathies	bisoprolol	1.5	0.044565463
Amyloid Neuropathies	bivalirudin	2	0.556515708
Amyloid Neuropathies	bleomycin	2	0.377174872
Amyloid Neuropathies	blinatumomab	2	0.351523697
Amyloid Neuropathies	bortezomib	2	0.636755338
Amyloid Neuropathies	bosentan	2	0.305974178
Amyloid Neuropathies	bosutinib	2	0.830473902
Amyloid Neuropathies	botulinum toxin type a	2	0.460172163
Amyloid Neuropathies	botulinum toxin type b	2	0.259952789
