drug	disease.x	proximity.x	pval.x	similarity.x	adjusted_similarity.x	disease.y	proximity.y	pval.y	similarity.y	adjusted_similarity.y
adalimumab	Alzheimer Disease	0	0.034338783	1	0.916996180685167	Alzheimer Disease	0	0.034338783	1	0.916996180685167
adapalene	Alzheimer Disease	0	1.34e-09	1	0.999498689431439	Memory Disorders	1.142857143	0.041500865	0.71428571425	0.388190164697243
adapalene	Alzheimer Disease	0	1.34e-09	1	0.999498689431439	Alzheimer Disease	0	1.34e-09	1	0.999498689431439
ademetionine	Alzheimer Disease	0.75	0.021442223	0.8125	0.628833714233804	Memory Disorders	1.5	0.012605496	0.625	0.206233008902532
ademetionine	Alzheimer Disease	0.75	0.021442223	0.8125	0.628833714233804	Amyloid Neuropathies	1.875	0.005916888	0.53125	0.360799904415132
ademetionine	Alzheimer Disease	0.75	0.021442223	0.8125	0.628833714233804	Alzheimer Disease	0.75	0.021442223	0.8125	0.628833714233804
afatinib	Alzheimer Disease	0.666666667	0.000143541	0.83333333325	0.993726881956618	Alzheimer Disease	0.666666667	0.000143541	0.83333333325	0.993726881956618
albutrepenonacog alfa	Alzheimer Disease	0	0.000370198	1	0.999498689431439	Alzheimer Disease	0	0.000370198	1	0.999498689431439
alclofenac	Alzheimer Disease	0	0.011309699	1	0.999498689431439	Alzheimer Disease	0	0.011309699	1	0.999498689431439
alendronic acid	Alzheimer Disease	0.6	0.03003023	0.85	0.995123544742407	Alzheimer Disease	0.6	0.03003023	0.85	0.995123544742407
