TTD_association	drug	proximity	pval	similarity	adjusted_similarity
Venous thromboembolism 	betrixaban	0	0.018735328	1	0.999498689431439
Cutaneous T-cell lymphoma 	bexarotene	0	5.12e-05	1	0.999498689431439
Hyperlipidaemia 	bezafibrate	0	6.35e-11	1	0.916996180685167
Alopecia 	bimatoprost	0	0.00020483	1	0.999498689431439
Parkinson disease 	biperiden	0.5	0.015931411	0.875	0.996659662454039
Hypertension 	bisoprolol	0	0.001378237	1	0.916996180685167
Thrombocytopenia 	bivalirudin	0	0.011309699	1	0.999498689431439
Hodgkin lymphoma 	bleomycin	0	0.002476499	1	0.916996180685167
Pulmonary arterial hypertension 	bosentan	0	0.000914993	1	0.999498689431439
Breast cancer 	bosutinib	0.5	0.000298104	0.875	0.759915570510543
Glaucoma/ocular hypertension 	brimonidine	0.333333333	0.002266313	0.91666666675	0.827624363017613
Ocular hypertension 	brimonidine	0.333333333	0.002266313	0.91666666675	0.827624363017613
Postoperative inflammation 	bromfenac	0	0.001514952	1	0.999498689431439
Parkinson disease 	bromocriptine	0.444444444	3.12e-07	0.888888889	0.784334260371817
Allergic rhinitis 	brompheniramine	0.833333333	0.04129361	0.79166666675	0.988249510046994
Nausea 	buclizine	0.5	0.038363253	0.875	0.996659662454039
Asthma 	budesonide	0.5	0.019968885	0.875	0.996659662454039
Dermatitis 	bufexamac	0.5	0.039170436	0.875	0.996659662454039
Pain 	buprenorphine	0.5	0.006301495	0.875	0.996659662454039
Smoking dependence 	bupropion	0.5	0.009947801	0.875	0.759915570510543
Anxiety disorder 	buspirone	0.428571429	0.000135969	0.89285714275	0.790970967897522
Hyperprolactinaemia 	cabergoline	0.4	2.9e-09	0.9	0.802535407328769
Ovarian cancer 	cabozantinib	0.333333333	0.006428897	0.91666666675	0.998223773135608
Thyroid cancer 	cabozantinib	0.333333333	0.006428897	0.91666666675	0.998223773135608
Vitamin D deficiency 	calcifediol	0	0.030499728	1	0.999498689431439
Psoriasis vulgaris 	calcipotriol	0	0.019968885	1	0.999498689431439
Rheumatoid arthritis 	canakinumab	0	0.013228375	1	0.916996180685167
Cryopyrin-associated periodic syndromes 	canakinumab	0	0.013228375	1	0.916996180685167
Vasculitis 	canakinumab	0	0.013228375	1	0.916996180685167
Urticaria 	canakinumab	0	0.013228375	1	0.916996180685167
Thrombosis 	cangrelor	0	0.000212122	1	0.999498689431439
LennoxGastaut syndrome 	cannabidiol	0.789473684	5.63e-05	0.802631579	0.605523182537791
Dravet syndrome 	cannabidiol	0.789473684	5.63e-05	0.802631579	0.605523182537791
Molluscum contagiosum infection 	cantharidin	0	0.005026772	1	0.999498689431439
Colorectal cancer 	capecitabine	0	0.001418066	1	0.999498689431439
Breast cancer 	capecitabine	0	0.001418066	1	0.999498689431439
Hypertension 	captopril	0.4	0.004132491	0.9	0.997713004352496
Abortion 	carboprost tromethamine	0	0.03295122	1	0.916996180685167
Bipolar disorder 	cariprazine	0.5	0.003800369	0.875	0.759915570510543
Pain 	carprofen	0	0.003659981	1	0.999498689431439
Glaucoma/ocular hypertension 	carteolol	0	0.002927344	1	0.916996180685167
Congestive heart failure 	carvedilol	0.444444444	1.68e-06	0.888888889	0.784334260371817
Constipation 	castor oil	0	0.000832077	1	0.999498689431439
Bacterial infection 	cefazolin	0.333333333	0.001731031	0.91666666675	0.998223773135608
Bacterial infection 	cefdinir	0	0.023012062	1	0.916996180685167
Neurotrophic keratitis 	cenegermin	0	0.023296852	1	0.999498689431439
Hyperlipidaemia 	cerivastatin	0	0.03810181	1	0.999498689431439
Multiple myeloma 	cerivastatin	0	0.03810181	1	0.999498689431439
Tripeptidyl peptidase 1 deficiency 	cerliponase alfa	0	0.000778463	1	0.999498689431439
Neuronal ceroid lipofuscinosis 	cerliponase alfa	0	0.000778463	1	0.999498689431439
Ovarian stimulation 	cetrorelix	0.5	0.018246327	0.875	0.996659662454039
Sjogren syndrome 	cevimeline	0.5	0.046014821	0.875	0.996659662454039
Bacterial infection 	chlorhexidine	0	0.01359838	1	0.999498689431439
Anxiety disorder 	chlormezanone	0	0.012428583	1	0.999498689431439
Malaria 	chloroquine	0	6.04e-05	1	0.999498689431439
Allergic rhinitis 	chlorpheniramine	0.5	0.00501309	0.875	0.759915570510543
Schizophrenia 	chlorpromazine	0.5	2.06e-08	0.875	0.759915570510543
Non-insulin dependent diabetes 	chlorpropamide	0	0.011614785	1	0.999498689431439
Psychotic disorder 	chlorprothixene	0.5	1.82e-05	0.875	0.759915570510543
Hypertension 	chlorthalidone	0.5	0.034943627	0.875	0.759915570510543
Edema 	chlorthalidone	0.5	0.034943627	0.875	0.759915570510543
Acute pain 	chlorzoxazone	0	0.005120837	1	0.916996180685167
Vitamin D deficiency 	cholecalciferol	0	0.013955718	1	0.999498689431439
Osteoarthritis 	choline magnesium trisalicylate	0	0.001764246	1	0.999498689431439
Inflammation 	choline salicylate	0.571428571	0.0023808	0.85714285725	0.995622925786853
Female infertility 	choriogonadotropin alfa	0	0.000741191	1	0.999498689431439
Congestive heart failure 	cilazapril	0	0.028322859	1	0.916996180685167
Hyperparathyroidism 	cinacalcet	0	0.030117581	1	0.916996180685167
Kidney disease 	cinacalcet	0	0.030117581	1	0.916996180685167
Vertigo meniere disease 	cinnarizine	0.6875	7.91e-05	0.828125	0.664511985785102
Hyperlipoproteinemia 	ciprofibrate	0	0.000370198	1	0.999498689431439
Solid tumour/cancer 	cisplatin	0.5	0.025702571	0.875	0.759915570510543
Depression 	citalopram	0.5	0.032832641	0.875	0.759915570510543
Chronic breathing disorder 	clenbuterol	0	1.12e-05	1	0.916996180685167
Irritable bowel syndrome 	clidinium	0	0.020207254	1	0.999498689431439
Abdominal stomach pain 	clidinium	0	0.020207254	1	0.999498689431439
Dysbetalipoproteinemia 	clofibrate	0	0.008929131	1	0.999498689431439
Depression 	clomipramine	0.333333333	3.31e-05	0.91666666675	0.827624363017613
Hypertension 	clonidine	0.5	0.001307523	0.875	0.996659662454039
Thrombosis 	clopidogrel	0	0.007138562	1	0.999498689431439
Fungal infection 	clotrimazole	0.5	0.048168153	0.875	0.996659662454039
Schizophrenia 	clozapine	0.592592593	3.87e-08	0.85185185175	0.715191884521535
Anaesthesia 	cocaine	0.666666667	0.005792389	0.83333333325	0.676022002084612
Contraception 	copper	0.713235294	1.12e-11	0.8216911765	0.650020302112954
Infertility 	corifollitropin alfa	0	0.003059102	1	0.999498689431439
Diagnostic imaging 	corticorelin ovine triflutate	0	0.015166429	1	0.999498689431439
Solid tumour/cancer 	curcumin	0.4	0.006028955	0.9	0.802535407328769
Anemia 	cyanocobalamin	0	7.47e-07	1	0.999498689431439
Depression 	cyclobenzaprine	0.333333333	3.63e-07	0.91666666675	0.827624363017613
Examination of eyes or vision 	cyclopentolate	0	0.010126235	1	0.999498689431439
Solid tumour/cancer 	cyclophosphamide	0	0.003525365	1	0.999498689431439
Parkinson disease 	cycrimine	0	0.009997348	1	0.999498689431439
Rhinitis 	cyproheptadine	0.285714286	2.92e-05	0.9285714285	0.843951868427611
Nephropathic cystinosis 	cysteamine	0	0.001526264	1	0.999498689431439
Venous thromboembolism 	dabigatran etexilate	0	0.019968885	1	0.999498689431439
Deep venous clot 	danaparoid	0	0.011836487	1	0.999498689431439
