TTD_association	drug	proximity	pval	similarity	adjusted_similarity
Respiratory tract inflammation 	amlexanox	0.5	0.013642579	0.875	0.996659662454039
Hypertension 	amlodipine	1.571428571	0.025593104	0.60714285725	0.178527656590918
Hypertension 	amlodipine	0.714285714	0.012123572	0.8214285715	0.992492293900605
Insomnia 	amobarbital	2.1	0.025202941	0.475	0.211515959642659
Insomnia 	amobarbital	1.6	0.00635841	0.6	0.168291655175903
Malaria 	amodiaquine	0	0.021971111	1	0.999498689431439
Major depressive disorder 	amoxapine	1.707317073	1.93e-06	0.57317073175	0.576095375590962
Major depressive disorder 	amoxapine	0.780487805	1.25e-08	0.80487804875	0.610876294390655
Major depressive disorder 	amoxapine	1.56097561	2.94e-07	0.6097560975	0.182392364874642
Attention deficit hyperactivity disorder 	amphetamine	0.411764706	3.51e-08	0.8970588235	0.797832952548616
Attention deficit hyperactivity disorder 	amphetamine	1.411764706	1.18e-07	0.6470588235	0.790136605766855
Attention deficit hyperactivity disorder 	amphetamine	1.058823529	4.66e-19	0.73529411775	0.439093429233738
Acute lymphoblastic leukaemia 	amsacrine	1	0.012741649	0.75	0.945098078077383
Acute lymphoblastic leukaemia 	amsacrine	1.75	0.037013208	0.5625	0.12209024541556
Rheumatoid arthritis 	anakinra	0	0.005026772	1	0.999498689431439
Breast cancer 	anastrozole	1	0.000509398	0.75	0.945098078077383
Breast cancer 	anastrozole	0	0.007713034	1	0.916996180685167
Blood forming organ disorder 	ancrod	0	0.038314193	1	0.999498689431439
Increase blood pressure 	angiotensin ii	0	0.001099902	1	0.998215649602825
Increase blood pressure 	angiotensin ii	1	0.034338783	0.75	0.475573630947114
Increase blood pressure 	angiotensin ii	0	0.001418066	1	0.916996180685167
Coagulation defect 	anisindione	1	0.008929131	0.75	0.945098078077383
Peptic ulcer 	anisotropine methylbromide	0.333333333	0.005346886	0.91666666675	0.998223773135608
Acute coronary syndrome 	anistreplase	0.25	0.000202811	0.9375	0.855352842489066
Acute coronary syndrome 	anistreplase	0.75	0.00422045	0.8125	0.976247630772842
Nasal congestion 	antazoline	1	0.000370198	0.75	0.945098078077383
Bleeding disorder 	anti-inhibitor coagulant complex	1	3.41e-06	0.75	0.945098078077383
Bleeding disorder 	anti-inhibitor coagulant complex	0.125	9.93e-11	0.96875	0.889899669963022
Thrombin deficiency 	antithrombin alfa	0	4.96e-05	1	0.999498689431439
Thrombosis 	apixaban	0	0.000697973	1	0.999498689431439
Parkinson disease 	apomorphine	1.4	1.25e-09	0.65	0.250155464708731
Parkinson disease 	apomorphine	1.466666667	3.13e-08	0.63333333325	0.757029462794277
Parkinson disease 	apomorphine	0.4	8.6e-07	0.9	0.802535407328769
Intra ocular pressure reduction 	apraclonidine	1.333333333	0.005845904	0.66666666675	0.831480882514626
Intra ocular pressure reduction 	apraclonidine	0	2.04e-05	1	0.916996180685167
Bleeding disorder 	aprotinin	0.5	0.009406676	0.875	0.996659662454039
Coronary artery disease 	arbutamine	0	0.000435574	1	0.916996180685167
Coronary artery disease 	arbutamine	0.333333333	2.03e-07	0.91666666675	0.827624363017613
Coronary artery disease 	arbutamine	1.666666667	0.030953944	0.58333333325	0.529196411593648
Coronary artery disease 	arbutamine	1.333333333	0.022186029	0.66666666675	0.282698225791934
Deep vein thrombosis 	ardeparin	0.5	0.049300157	0.875	0.996659662454039
Chronic obstructive pulmonary disease 	arformoterol	1	0.006830513	0.75	0.910611085269981
Asthma 	arformoterol	1	0.006830513	0.75	0.910611085269981
Thrombosis 	argatroban	0	0.01684862	1	0.999498689431439
Schizophrenia 	aripiprazole	0.604651163	6.51e-13	0.84883720925	0.709011660557655
Schizophrenia 	aripiprazole	1.348837209	4.91e-15	0.66279069775	0.274905151387486
Schizophrenia 	aripiprazole	1.581395349	4.26e-08	0.60465116275	0.677194520378639
Major depressive disorder 	aripiprazole	0.604651163	6.51e-13	0.84883720925	0.709011660557655
Major depressive disorder 	aripiprazole	1.348837209	4.91e-15	0.66279069775	0.274905151387486
Major depressive disorder 	aripiprazole	1.581395349	4.26e-08	0.60465116275	0.677194520378639
Bipolar disorder 	aripiprazole	0.604651163	6.51e-13	0.84883720925	0.709011660557655
Bipolar disorder 	aripiprazole	1.348837209	4.91e-15	0.66279069775	0.274905151387486
Bipolar disorder 	aripiprazole	1.581395349	4.26e-08	0.60465116275	0.677194520378639
Pediatric cancer 	armodafinil	0	6.26e-07	1	0.997960746870246
Pediatric cancer 	armodafinil	0	0.008116575	1	0.916996180685167
Pediatric cancer 	armodafinil	0	6.91e-05	1	0.916996180685167
Acute lymphoblastic leukaemia 	arsenic trioxide	0.4	0.022156469	0.9	0.997713004352496
Schizophrenia 	asenapine	0.368421053	2.68e-09	0.90789473675	0.814748339528598
Schizophrenia 	asenapine	1.315789474	4.78e-06	0.6710526315	0.291676210446684
Schizophrenia 	asenapine	1.473684211	7.85e-06	0.63157894725	0.752551582709188
Genetic disease 	asfotase alfa	1	0.008929131	0.75	0.945098078077383
Hypertension 	atenolol	1	0.008828648	0.75	0.939653140975545
Hypertension 	atenolol	0	0.002858644	1	0.916996180685167
Hypertension 	atenolol	0.5	0.017953568	0.875	0.759915570510543
Solid tumour/cancer 	atezolizumab	1	1.87e-06	0.75	0.939653140975545
Melanoma 	atezolizumab	1	1.87e-06	0.75	0.939653140975545
Bronchioalveolar carcinoma 	atezolizumab	1	1.87e-06	0.75	0.939653140975545
Ulcer 	atezolizumab	1	1.87e-06	0.75	0.939653140975545
Attention deficit hyperactivity disorder 	atomoxetine	1	2.32e-07	0.75	0.475573630947114
Attention deficit hyperactivity disorder 	atomoxetine	0.636363636	0.015477541	0.840909091	0.69238807478022
Attention deficit hyperactivity disorder 	atomoxetine	1.181818182	2.67e-08	0.7045454545	0.892692362526056
Cardiovascular disease 	atorvastatin	0.4	5.62e-05	0.9	0.802535407328769
Cardiovascular disease 	atorvastatin	1.2	0.038922493	0.7	0.895622553226265
Poison intoxication 	atropine	0.571428571	0.00141293	0.85714285725	0.995622925786853
Organophosphate poisoning 	atropine	0.571428571	0.00141293	0.85714285725	0.995622925786853
Inflammatory arthritis 	auranofin	0.5	0.038314193	0.875	0.996659662454039
Solid tumour/cancer 	avelumab	1	9.74e-05	0.75	0.939653140975545
Merkel cell carcinoma 	avelumab	1	9.74e-05	0.75	0.939653140975545
Mantle cell lymphoma 	axicabtagene ciloleucel	1	0.02681328	0.75	0.939653140975545
Diffuse large B-cell lymphoma 	axicabtagene ciloleucel	1	0.02681328	0.75	0.939653140975545
Follicular lymphoma 	axicabtagene ciloleucel	1	0.02681328	0.75	0.939653140975545
Non-hodgkin lymphoma 	axicabtagene ciloleucel	1	0.02681328	0.75	0.939653140975545
Acute lymphoblastic leukaemia 	axicabtagene ciloleucel	1	0.02681328	0.75	0.939653140975545
Primary mediastinal B-cell lymphoma 	axicabtagene ciloleucel	1	0.02681328	0.75	0.939653140975545
Renal cell carcinoma 	axitinib	1	0.018576155	0.75	0.939653140975545
Myelodysplastic syndrome 	azacitidine	0	0.013955718	1	0.999498689431439
Allergic rhinitis 	azatadine	1	0.000370198	0.75	0.945098078077383
Organ transplant rejection 	azathioprine	1.5	0.019392058	0.625	0.661048189545015
Allergic conjunctivitis 	azelastine	1.5	0.010388075	0.625	0.751224390915506
Skin infection 	bacitracin	0	0.000423244	1	0.916996180685167
Skin infection 	bacitracin	1.5	0.008197536	0.625	0.661048189545015
Inflammatory bowel disease 	balsalazide	0	1.61e-06	1	0.916996180685167
Inflammatory bowel disease 	balsalazide	1.25	0.008726472	0.6875	0.868009167412631
Organ transplant rejection 	basiliximab	1.083333333	6.37e-25	0.72916666675	0.88550167441359
Diabetic complication 	becaplermin	1.666666667	0.039517696	0.58333333325	0.529196411593648
Diabetic complication 	becaplermin	0	0.000334465	1	0.916996180685167
Hypertension 	benazepril	1	0.001418066	0.75	0.910611085269981
Hypertension 	benazepril	0	9.27e-10	1	0.916996180685167
Hypertension 	benazepril	0	0.025214846	1	0.916996180685167
Hypertension 	benazepril	1	0.013472051	0.75	0.475573630947114
High blood pressure 	bendroflumethiazide	1.2	4.77e-05	0.7	0.895622553226265
High blood pressure 	bendroflumethiazide	0.6	0.007855241	0.85	0.711404818907248
Chronic obstructive pulmonary disease 	benralizumab	1.5	0.00463038	0.625	0.661048189545015
Chronic obstructive pulmonary disease 	benralizumab	1.5	0.042410927	0.625	0.206233008902532
Asthma 	benralizumab	1.5	0.00463038	0.625	0.661048189545015
Asthma 	benralizumab	1.5	0.042410927	0.625	0.206233008902532
Cough 	benzonatate	1	0.038314193	0.75	0.939653140975545
Obesity 	benzphetamine	1	2.3e-07	0.75	0.939653140975545
Obesity 	benzphetamine	0.25	0.001448752	0.9375	0.855352842489066
Obesity 	benzphetamine	1	3.73e-05	0.75	0.475573630947114
High blood pressure 	benzthiazide	1.5	0.027793991	0.625	0.751224390915506
High blood pressure 	benzthiazide	0.666666667	0.026411615	0.83333333325	0.676022002084612
