disease	GeneID
Abdominal Pain	627
Abdominal Pain	6647
Abdominal Pain	7040
Abdominal Pain	7132
Abdominal Pain	7442
Aberrant Crypt Foci	2064
Aberrant Crypt Foci	3845
Aberrant Crypt Foci	4893
Aberrant Crypt Foci	673
Abetalipoproteinemia	23230
Abetalipoproteinemia	4547
Abetalipoproteinemia	4663
Abetalipoproteinemia	80025
Abnormalities	10
Abnormalities	100
Abnormalities	1000
Abnormalities	100043597
Abnormalities	100048912
Abnormalities	100049542
Abnormalities	100126343
Abnormalities	100128966
Abnormalities	100130172
Abnormalities	100130479
Abnormalities	100130601
Abnormalities	100131130
Abnormalities	100131361
Abnormalities	100132285
Abnormalities	100144435
Abnormalities	100288687
Abnormalities	100290481
Abnormalities	100302131
Abnormalities	100310842
Abnormalities	100359402
Abnormalities	10044
Abnormalities	10046
Abnormalities	10048
Abnormalities	100505933
Abnormalities	100507266
Abnormalities	10058
Abnormalities	10060
Abnormalities	10062
Abnormalities	10073
Abnormalities	10083
Abnormalities	100861438
Abnormalities	100996331
Abnormalities	10111
Abnormalities	10117
Abnormalities	101180976
Abnormalities	1012
Abnormalities	101234260
Abnormalities	101241900
Abnormalities	10133
Abnormalities	10142
Abnormalities	10152
Abnormalities	10165
Abnormalities	1019
Abnormalities	10194
Abnormalities	1021
Abnormalities	10215
Abnormalities	10225
Abnormalities	1024
Abnormalities	10252
Abnormalities	10253
Abnormalities	10257
Abnormalities	1026
Abnormalities	10265
Abnormalities	1027
Abnormalities	10270
Abnormalities	1028
Abnormalities	1029
Abnormalities	1030
Abnormalities	1031
Abnormalities	1032
Abnormalities	10320
Abnormalities	10327
Abnormalities	10347
Abnormalities	1035175
Abnormalities	10369
Abnormalities	10370
Abnormalities	10379
Abnormalities	10397
Abnormalities	10400
Abnormalities	1041
Abnormalities	1044
Abnormalities	10447
Abnormalities	1045
Abnormalities	10452
Abnormalities	10468
Abnormalities	10479
Abnormalities	10498
Abnormalities	1050
Abnormalities	1051
Abnormalities	1052
Abnormalities	10522
Abnormalities	105259599
Abnormalities	10528
Abnormalities	10544
Abnormalities	10558
Abnormalities	10585
Abnormalities	10588
Abnormalities	10592
